~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
H01P200 missing from tranches, no worries
H06P030 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H06/H06P040.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H06/H06P050.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H06/H06P060.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H06/H06P070.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H06/H06P080.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H06/H06P090.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H06/H06P100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H06/H06P110.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H06/H06P120.smi already exists
H06P130 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H06/H06P140.smi already exists
H06P150 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H06/H06P160.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H06/H06P170.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H06/H06P180.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H06/H06P190.smi already exists
H07M500 missing from tranches, no worries
H07M400 missing from tranches, no worries
H07M300 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H07/H07M200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H07/H07M100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H07/H07M000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H07/H07P000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H07/H07P010.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H07/H07P020.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H07/H07P030.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H07/H07P040.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H07/H07P050.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H07/H07P060.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H07/H07P070.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H07/H07P080.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H07/H07P090.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H07/H07P100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H07/H07P110.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H07/H07P120.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H07/H07P130.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H07/H07P140.smi already exists
H07P150 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H07/H07P160.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H07/H07P170.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H07/H07P180.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H07/H07P190.smi already exists
H08M500 missing from tranches, no worries
H08M400 missing from tranches, no worries
H08M300 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H08/H08M200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08M100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08M000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P010.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P020.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P030.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P040.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P050.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P060.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P070.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P080.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P090.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P110.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P120.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P130.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P140.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P150.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P160.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P170.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P180.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H08/H08P190.smi already exists
H09M500 missing from tranches, no worries
H09M400 missing from tranches, no worries
H09M300 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H09/H09M200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09M100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09M000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P010.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P020.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P030.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P040.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P050.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P060.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P070.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P080.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P090.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P110.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P120.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P130.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P140.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P150.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P160.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P170.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P180.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H09/H09P190.smi already exists
H10M500 missing from tranches, no worries
H10M400 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H10/H10M300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10M200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10M100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10M000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P010.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P020.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P030.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P040.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P050.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P060.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P070.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P080.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P090.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P110.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P120.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P130.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P140.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P150.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P160.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P170.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P180.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H10/H10P190.smi already exists
H11M500 missing from tranches, no worries
H11M400 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H11/H11M300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11M200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11M100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11M000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P010.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P020.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P030.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P040.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P050.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P060.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P070.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P080.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P090.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P110.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P120.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P130.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P140.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P150.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P160.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P170.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P180.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H11/H11P190.smi already exists
H12M500 missing from tranches, no worries
H12M400 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H12/H12M300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12M200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12M100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12M000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P010.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P020.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P030.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P040.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P050.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P060.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P070.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P080.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P090.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P110.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P120.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P130.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P140.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P150.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P160.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P170.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P180.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H12/H12P190.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P290.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P310.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P320.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P330.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P340.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P350.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P360.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P370.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P380.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P390.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P400.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P210.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P220.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P230.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P240.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P250.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P260.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P270.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H22/H22P280.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P370.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P380.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P390.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P400.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P360.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P320.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P330.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P340.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H27/H27P350.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P250.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P240.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P230.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H24/H24M500.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24M400.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24M300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24M200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24M100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24M000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P000.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P010.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P020.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P030.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P110.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P120.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P130.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P140.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P150.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H25/H25P200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H25/H25P210.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H25/H25P220.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P220.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H26/H26P210.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P280.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P270.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P260.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P250.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P240.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P230.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P040.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P050.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P060.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P070.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P080.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P090.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P100.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P160.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P170.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P180.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P190.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P410.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P420.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P430.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P440.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P450.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P460.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P470.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P480.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P490.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H13/H13P500.smi already exists
H13P600 missing from tranches, no worries
H13P700 missing from tranches, no worries
H13P800 missing from tranches, no worries
H13P900 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P410.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P420.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P430.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P440.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P450.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P460.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P470.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P480.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P490.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P500.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H14/H14P600.smi already exists
H14P700 missing from tranches, no worries
H14P800 missing from tranches, no worries
H14P900 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P410.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P420.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P430.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P440.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P450.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P460.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P470.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P480.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P490.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P500.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H15/H15P600.smi already exists
H15P700 missing from tranches, no worries
H15P800 missing from tranches, no worries
H15P900 missing from tranches, no worries
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P410.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P420.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P430.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P440.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P450.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P460.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P470.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P480.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P490.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P500.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H16/H16P600.smi already exists
H16P700 missing from tranches, no worries
H16P800 missing from tranches, no worries
H16P900 missing from tranches, no worries


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P340.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P350.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P360.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P370.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P380.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P390.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P400.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P280.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P290.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P300.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P310.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P320.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P330.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P240.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P250.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P260.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P270.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P200.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P210.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P220.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H24/H24P230.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P370.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P350.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P360.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H28/H28P340.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P080.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P090.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P100.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P110.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P120.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
~/btingle/bin/2dload.testing/preprocessing
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P130.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P140.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P150.smi already exists
/nfs/exb/zinc22/2dpre_results/mq/H29/H29P160.smi already exists


~/btingle/bin/2dload.testing/preprocessing ~/btingle/bin/2dload.testing/preprocessing
